paper_id,title
28459442,Moral transgressions corrupt neural representations of value.
29182268,Core Richness of N-Glycans of Caenorhabditis elegans: A Case Study on Chemical and Enzymatic Release.
29515993,In Silico Prediction of Chemical Toxicity for Drug Design Using Machine Learning Methods and Structural Alerts.
29066472,Mapping Second Chromosome Mutations to Defined Genomic Regions in Drosophila melanogaster.
29327286,ABCD3-I score and the risk of early or 3-month stroke recurrence in tissue- and time-based definitions of TIA and minor stroke.
29507292,Fear extinction requires infralimbic cortex projections to the basolateral amygdala.
29398391,Origins of the current outbreak of multidrug-resistant malaria in southeast Asia: a retrospective genetic study.
29463019,Health Differences between Roma and Non-Roma in the Slovak Dialyzed Population.
29572442,A loop region of BAFF controls B cell survival and regulates recognition by different inhibitors.
29556797,High-Dimensional Brain: A Tool for Encoding and Rapid Learning of Memories by Single Neurons.
29555807,Blessing of dimensionality: mathematical foundations of the statistical physics of data.
29463761,Cooption of heat shock regulatory system for anhydrobiosis in the sleeping chironomid Polypedilum vanderplanki.
29662016,Persistent Borrelia Infection in Patients with Ongoing Symptoms of Lyme Disease.
29480151,Potential biomarkers and targets in reversibility of pulmonary arterial hypertension secondary to congenital heart disease: an explorative study.
29593390,Fluorescent gold nanoclusters for efficient cancer cell targeting.
29593114,Does observability affect prosociality?
28575536,Valuing treatment with infliximab for ankylosing spondylitis using a willingness-to-pay approach.
29503860,Production of novel diagnostic radionuclides in small medical cyclotrons.
29355844,Endothelial Tie1-mediated angiogenesis and vascular abnormalization promote tumor progression and metastasis.
29549680,Bowel wall thickening: inquire or not inquire? Our guidelines.
29419759,A Novel Method for Remote Depth Estimation of Buried Radioactive Contamination.
29653542,Decreased outlet angle of the superior cerebellar artery as indicator for dolichoectasia in late onset Pompe disease.
29413083,Time for a change: is idiopathic pulmonary fibrosis still idiopathic and only fibrotic?
29665836,Household water treatment and the nutritional status of primary-aged children in India: findings from the India human development survey.
29558884,Few individuals with Lennox-Gastaut syndrome have autism spectrum disorder: a comparison with Dravet syndrome.
29691445,Propagation of Disturbances in AC Electricity Grids.
29690519,Thermocatalytic Behavior of Manganese (IV) Oxide as Nanoporous Material on the Dissociation of a Gas Mixture Containing Hydrogen Peroxide.
29670409,Safinamide: an add-on treatment for managing Parkinson's disease.
29614051,The Effect of Seasonal Floods on Health: Analysis of Six Years of National Health Data and Flood Maps.
29686383,The IL-33-PIN1-IRAK-M axis is critical for type 2 immunity in IL-33-induced allergic airway inflammation.
29481401,"A Systematic Review and Meta-Analysis on the Strength and Consistency of the Associations between Dupuytren Disease and Diabetes Mellitus, Liver Disease, and Epilepsy."
29704067,Microbial community and diversity in the feces of Sichuan takin (Budorcas taxicolor tibetana) as revealed by Illumina Miseq sequencing and quantitative real-time PCR.
29544493,Why people use herbal medicine: insights from a focus-group study in Germany.
29439589,Measurement properties of the Dutch Unité Rhumatologique des Affections de la Main and its ability to measure change due to Dupuytren's disease progression compared with the Michigan Hand outcomes Questionnaire.
29346586,PlasFlow: predicting plasmid sequences in metagenomic data using genome signatures.
29700149,Complete Genome Sequence of the Freshwater Bacterium Beggiatoa leptomitoformis Strain D-401.
29659513,Chromatin Architectural Changes during Cellular Senescence and Aging.
29670091,Inhibition of the mevalonate pathway enhances cancer cell oncolysis mediated by M1 virus.
29437099,"Complete Genome Sequence of a Type Strain of Mycobacterium abscessus subsp. bolletii, a Member of the Mycobacterium abscessus Complex."
29703142,Identification of new loci involved in the host susceptibility to Salmonella Typhimurium in collaborative cross mice.
29522477,Promising Detoxification Strategies to Mitigate Mycotoxins in Food and Feed.
29681764,Galaxy rotation curves via conformal factors.
29723187,Ebolaviruses: New roles for old proteins.
29715316,Useful field of view test performance throughout adulthood in subjects without ocular disorders.
28918260,Organization of sensory feature selectivity in the whisker system.
29596343,Antipruritic Effects of Botulinum Neurotoxins.
29713497,"Patient-derived orthotopic xenograft models for cancer of unknown primary precisely distinguish chemotherapy, and tumor-targeting S. typhimurium A1-R is superior to first-line chemotherapy."
29576637,Complications Associated with Locking Plate of Proximal Humerus Fractures.
10097113,Deletion of the loop region of Bcl-2 completely blocks paclitaxel-induced apoptosis.
29159452,Saprotrophic soil fungi to improve phosphorus solubilisation and release: In vitro abilities of several species.
29554922,A CRISPR screen for factors regulating SAMHD1 degradation identifies IFITMs as potent inhibitors of lentiviral particle delivery.
29925657,Recurrent Loss of APOBEC3H Activity during Primate Evolution.
28693630,Developmental competence of Dromedary camel (Camelus dromedarius) oocytes selected using brilliant cresyl blue staining.
28011771,Improving protein disorder prediction by deep bidirectional long short-term memory recurrent neural networks.
29264603,Contiguous hydrophobic and charged surface patches in short helix-constrained peptides drive cell permeability.
29028926,Structure-based prediction of protein- peptide binding regions using Random Forest.
28057679,SPOT-ligand 2: improving structure-based virtual screening by binding-homology search on an expanded structural template library.
27147026,Direct detection of the (229)Th nuclear clock transition.
29740598,A single-atom 3D sub-attonewton force sensor.
28322227,Real-time reliable determination of binding kinetics of DNA hybridization using a multi-channel graphene biosensor.
24905476,Quantifying ligand-receptor interactions for gorge-spanning acetylcholinesterase inhibitors for the treatment of Alzheimer's disease.
27707790,Landscape of Genomic Alterations in Pituitary Adenomas.
28778369,Discovery of new leads against Mycobacterium tuberculosis using scaffold hopping and shape based similarity.
29535149,SvABA: genome-wide detection of structural variants and indels by local assembly.
28104717,Clinical targeted exome-based sequencing in combination with genome-wide copy number profiling: precision medicine analysis of 203 pediatric brain tumors.
27479325,DWARF14 is a non-canonical hormone receptor for strigolactone.
26773146,Swift and Strong NK Cell Responses Protect 129 Mice against High-Dose Influenza Virus Infection.
24862879,"A novel P700 redox kinetics probe for rapid, non-intrusive and whole-tissue determination of photosystem II functionality, and the stoichiometry of the two photosystems in vivo."
25339269,A proteome quality index.
28652896,Resurrecting the Dead (Molecules).
23255122,Identification of a cation transport pathway in Neisseria meningitidis PorB.
28800436,Tactile acuity testing at the neck: A comparison of methods.
19539124,Is it reasonable to use an individual patient's progress after treatment as a guide to ongoing clinical reasoning?
28544481,Matching phenotypes to whole genomes: Lessons learned from four iterations of the personal genome project community challenges.
25111182,SpyAvidin hubs enable precise and ultrastable orthogonal nanoassembly.
26670244,Structure of the Receptor-Binding Carboxy-Terminal Domain of the Bacteriophage T5 L-Shaped Tail Fibre with and without Its Intra-Molecular Chaperone.
28358005,Structural intermediates and directionality of the swiveling motion of Pyruvate Phosphate Dikinase.
27050687,Outcome of the First wwPDB/CCDC/D3R Ligand Validation Workshop.
28943338,Structure of a Reptilian Adenovirus Reveals a Phage Tailspike Fold Stabilizing a Vertebrate Virus Capsid.
28665339,Crystal Structure of the Carboxy-Terminal Region of the Bacteriophage T4 Proximal Long Tail Fiber Protein Gp34.
24939692,Exceptionally abundant exceptions: comprehensive characterization of intrinsic disorder in all domains of life.
26109352,"High-throughput prediction of RNA, DNA and protein binding regions mediated by intrinsic disorder."
28132027,"DRNApred, fast sequence-based method that accurately predicts and discriminates DNA- and RNA-binding residues."
25175027,The molecular architecture of the TRAMP complex reveals the organization and interplay of its two catalytic activities.
25372670,Covering complete proteomes with X-ray structures: a current snapshot.
28472656,"The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis."
29053960,A General Strategy for Discovery of Inhibitors and Activators of RING and U-box E3 Ligases with Ubiquitin Variants.
20018841,The C terminus of the Alb3 membrane insertase recruits cpSRP43 to the thylakoid membrane.
23999301,Analysis of the human cofilin 1 structure reveals conformational changes required for actin binding.
28650318,Tandem hnRNP A1 RNA recognition motifs act in concert to repress the splicing of survival motor neuron exon 7.
24753571,A bimodular nuclear localization signal assembled via an extended double-stranded RNA-binding domain acts as an RNA-sensing signal for transportin 1.
24878921,Unique subunit packing in mycobacterial nanoRNase leads to alternate substrate recognitions in DHH phosphodiesterases.
27230667,Characterisation of assembly and ubiquitylation by the RBCC motif of Trim5α.
27180300,"Cloning, expression and characterization of a mucin-binding GAPDH from Lactobacillus acidophilus."
27028290,Modular organisation of inducer recognition and allostery in the tetracycline repressor.
25432019,Tetracycline repressor allostery does not depend on divalent metal recognition.
24029071,Bacteriophage T5 encodes a homolog of the eukaryotic transcription coactivator PC4 implicated in recombination-dependent DNA replication.
24482743,Identification of the ssDNA-binding protein of bacteriophage T5: Implications for T5 replication.
29551714,Blind estimation of DED camera gain in Electron Microscopy.
29395788,MonoRes: Automatic and Accurate Estimation of Local Resolution for Electron Microscopy Maps.
29312997,A Survey of the Use of Iterative Reconstruction Algorithms in Electron Microscopy.
28971542,Scipion web tools: Easy to use cryo-EM image processing over the web.
28740215,"Quantitative analysis of 3D alignment quality: its impact on soft-validation, particle pruning and homogeneity analysis."
28097146,Versatility of Approximating Single-Particle Electron Microscopy Density Maps Using Pseudoatoms and Approximation-Accuracy Control.
27769763,Fast and automatic identification of particle tilt pairs based on Delaunay triangulation.
26670244,Structure of the Receptor-Binding Carboxy-Terminal Domain of the Bacteriophage T5 L-Shaped Tail Fibre with and without Its Intra-Molecular Chaperone.
27725258,Foil-hole and data image quality assessment in 3DEM: Towards high-throughput image acquisition in the electron microscope.
27334597,Crystal structure of raptor adenovirus 1 fibre head and role of the beta-hairpin in siadenovirus fibre head domains.
27666962,A review of resolution measures and related aspects in 3D Electron Microscopy.
27108186,"Scipion: A software framework toward integration, reproducibility and validation in 3D electron microscopy."
27102900,Local analysis of strains and rotations for macromolecular electron microscopy maps.
27085420,Denoising of high-resolution single-particle electron-microscopy density maps by their approximation using three-dimensional Gaussian functions.
28145059,"Time, space, and disorder in the expanding proteome universe."
26575957,Hierarchical Mesoporous Zinc-Nickel-Cobalt Ternary Oxide Nanowire Arrays on Nickel Foam as High-Performance Electrodes for Supercapacitors.
26748096,A higher-order entity formed by the flexible assembly of RAP1 with TRF2.
27296776,"In-vitro, SDH5-dependent flavinylation of immobilized human respiratory complex II flavoprotein."
28241534,Dual Hg-Rb magneto-optical trap.
28212744,PARP1 and Sox2: An Unlikely Team of Pioneers to Conquer the Nucleosome.
28985416,EVLncRNAs: a manually curated database for long non-coding RNAs validated by low-throughput experiments.
27984732,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens.
26678851,A Hominin Femur with Archaic Affinities from the Late Pleistocene of Southwest China.
27215190,A kernel-based clustering method for gene selection with gene expression data.
28943338,Structure of a Reptilian Adenovirus Reveals a Phage Tailspike Fold Stabilizing a Vertebrate Virus Capsid.
28448571,"Localization of adenovirus morphogenesis players, together with visualization of assembly intermediates and failed products, favor a model where assembly and packaging occur concurrently at the periphery of the replication center."
22918483,RNA recognition by double-stranded RNA binding domains: a matter of shape and sequence.
26861820,Characterization of clinical signs in the human interactome.
22889878,"Crystal structure of Plasmodium falciparum thioredoxin reductase, a validated drug target."
27546548,Pichia pastoris Fep1 is a [2Fe-2S] protein with a Zn finger that displays an unusual oxygen-dependent role in cluster binding.
28359768,On the Science of Consciousness: Epistemological Reflections and Clinical Implications.
29333233,On the primacy and irreducible nature of first-person versus third-person information.
26834996,Feeling the future: A meta-analysis of 90 experiments on the anomalous anticipation of random future events.
15258568,Nucleosomes facilitate their own invasion.
27083189,Fasciola hepatica calcium-binding protein FhCaBP2: structure of the dynein light chain-like domain.
29460862,"Host preferences and feeding patterns of Anopheles sinensis Wiedemann in three sites of Shandong province, China."
27681543,"A reassessment of the artificial infection of three predominant mosquito species with Plasmodium vivax in Shandong Province, China."
25502034,Measure post-bloodmeal dispersal of mosquitoes and duration of radioactivity by using the isotope ³²P.
24549265,Anoxia/high temperature double whammy during the Permian-Triassic marine crisis and its aftermath.
26054731,Early Triassic wrinkle structures on land: stressed environments and oases for life.
27308279,Evaluation of Isotope (32)P Method to Mark Culex pipiens (Diptera: Culicidae) in a Laboratory.
19578149,"Serratia nematodiphila sp. nov., associated symbiotically with the entomopathogenic nematode Heterorhabditidoides chongmingensis (Rhabditida: Rhabditidae)."
28855507,The onset of widespread marine red beds and the evolution of ferruginous oceans.
18410943,"Heterorhabditidoides chongmingensis gen. nov., sp. nov. (Rhabditida: Rhabditidae), a novel member of the entomopathogenic nematodes."
29527201,Designing Antibacterial Peptides with Enhanced Killing Kinetics.
25056889,New insights into the nonconserved noncoding region of the subtype-determinant hemagglutinin and neuraminidase segments of influenza A viruses.
25176387,Anti-glycation and anti-oxidation properties of Capsicum frutescens and Curcuma longa fruits: possible role in prevention of diabetic complication.
18712298,An introduction to protein contact prediction.
28729956,Predicting the host of influenza viruses based on the word vector.
28262734,Continual Antigenic Diversification in China Leads to Global Antigenic Complexity of Avian Influenza H5N1 Viruses.
28649418,Facilitating access to health research through a participatory research register: a feasibility study in outpatient clinics.
25064136,Crystal structure of the lytic CHAP(K) domain of the endolysin LysK from Staphylococcus aureus bacteriophage K.
25918396,"A ΩXaV motif in the Rift Valley fever virus NSs protein is essential for degrading p62, forming nuclear filaments and virulence."
27821736,C-terminal domain of mammalian complexin-1 localizes to highly curved membranes.
27035984,Simultaneous single-molecule epigenetic imaging of DNA methylation and hydroxymethylation.
25686604,ATG14 promotes membrane tethering and fusion of autophagosomes to endolysosomes.
23534882,Accurate prediction of disorder in protein chains with a comprehensive and empirically designed consensus.
25471818,Comprehensive overview and assessment of computational prediction of microRNA targets in animals.
25612767,Modelling of noble anaesthetic gases and high hydrostatic pressure effects in lipid bilayers.
27192562,Cellulose Structural Polymorphism in Plant Primary Cell Walls Investigated by High-Field 2D Solid-State NMR Spectroscopy and Density Functional Theory Calculations.
29674755,Characterizing metal-binding sites in proteins with X-ray crystallography.
26327386,Crystallography and chemistry should always go together: a cautionary tale of protein complexes with cisplatin and carboplatin.
22949186,Structure of anabolic ornithine carbamoyltransferase from Campylobacter jejuni at 2.7 Å resolution.
26899789,Particle alignment reliability in single particle electron cryomicroscopy: a general approach.
26390853,Cryo-EM and the elucidation of new macromolecular structures: Random Conical Tilt revisited.
26094203,A fast iterative convolution weighting approach for gridding-based direct Fourier three-dimensional reconstruction with correction for the contrast transfer function.
26008761,Three-dimensional reconstruction methods in Single Particle Analysis from transmission electron microscopy data.
25913484,CTF Challenge: Result summary.
29165075,Preferential Formulation of Second Generation Antipsychotic Asenapine as Inclusion Complex with Sulphobutylether-βCD (Captisol): In vitro and In vivo Evaluation.
27412704,A Computational Model for Docking of Noncompetitive Neuraminidase Inhibitors and Probing their Binding Interactions with Neuraminidase of Influenza Virus H5N1.
28474419,Online cross-validation-based ensemble learning.
15580276,Rapid spontaneous accessibility of nucleosomal DNA.
28194005,Genetic inhibition of neurotransmission reveals role of glutamatergic input to dopamine neurons in high-effort behavior.
25681631,Alignment of direct detection device micrographs using a robust Optical Flow approach.
27701049,Soluble curcumin amalgamated chitosan microspheres augmented drug delivery and cytotoxicity in colon cancer cells: In vitro and in vivo study.
25637660,A statistical approach to the initial volume problem in Single Particle Analysis by Electron Microscopy.
29483539,Genome sequencing and analysis of Alcaligenes faecalis subsp. phenolicus MB207.
27618775,Prediction of post translation modifications at the contact site between Anaplasma phagocytophilum and human host during autophagosome induction using a bioinformatic approach.
25268657,Hybrid Electron Microscopy Normal Mode Analysis graphical interface and protocol.
28153749,Energy landscape of a GSTP1 polymorph linked with cytological function decay in response to chemical stressors.
26445296,Survey of compound microsatellites in multiple Lactobacillus genomes.
26048414,In silico assessment of phosphorylation and O-β-GlcNAcylation sites in human NPC1 protein critical for Ebola virus entry.
25932644,"Comparative evaluation of MRSA nasal colonization epidemiology in the urban and rural secondary school community of Kurdistan, Iraq."
28018169,High Transmembrane Voltage Raised by Close Contact Initiates Fusion Pore.
29159046,Imaging of glia activation in people with primary lateral sclerosis.
28744013,The T-cell leukemia associated ribosomal RPL10 R98S mutation enhances JAK-STAT signaling.
28147343,The ribosomal protein gene RPL5 is a haploinsufficient tumor suppressor in multiple cancer types.
28101859,Functional and Structural Roles of Coiled Coils.
26024445,Structural dynamics of the cereblon ligand binding domain.
25242455,Autofocused 3D classification of cryoelectron subtomograms.
28011771,Improving protein disorder prediction by deep bidirectional long short-term memory recurrent neural networks.
24974203,Efficient initial volume determination from electron microscopy images of single particles.
25004975,"The structure of the cysteine protease and lectin-like domains of Cwp84, a surface layer-associated protein from Clostridium difficile."
25760704,"Cwp84, a Clostridium difficile cysteine protease, exhibits conformational flexibility in the absence of its propeptide."
28677344,Cwp2 from Clostridium difficile exhibits an extended three domain fold and cell adhesion in vitro.
29083543,The molecular structure of the glycoside hydrolase domain of Cwp19 from Clostridium difficile.
29170885,The structure of the S-layer of Clostridium difficile.
25845800,Molecular features of the sortase enzyme family.
28176817,Structural insights into human angiogenin variants implicated in Parkinson's disease and Amyotrophic Lateral Sclerosis.
28028736,Fast H-DROP: A thirty times accelerated version of H-DROP for interactive SVM-based prediction of helical domain linkers.
29378407,Multiple Pathways and Time Scales for Conformational Transitions in apo-Adenylate Kinase.
23904035,Cytoskeletal tropomyosins: choreographers of actin filament functional diversity.
28300161,FOXO transcription factors protect against the diet-induced fatty liver disease.
29741956,A Secure Alignment Algorithm for Mapping Short Reads to Human Genome.
24019255,Validation of an algorithm to quantify changes in actin cytoskeletal organization.
29080786,Molecular Recognition Features in Zika Virus Proteome.
29307830,Functional and evolution characterization of SWEET sugar transporters in Ananas comosus.
29314837,TetraBASE: A Side Chain-Independent Statistical Energy for Designing Realistically Packed Protein Backbones.
29201640,"Connectome analysis with diffusion MRI in idiopathic Parkinson's disease: Evaluation using multi-shell, multi-tissue, constrained spherical deconvolution."
29107486,Insights into the Structure of Dimeric RNA Helicase CsdA and Indispensable Role of Its C-Terminal Regions.
28637487,The NF1 somatic mutational landscape in sporadic human cancers.
29159057,Gray matter atrophy patterns in multiple sclerosis: A 10-year source-based morphometry study.
29627940,Effects of motor rehabilitation on mobility and brain plasticity in multiple sclerosis: a structural and functional MRI study.
28560167,RNA-seq analysis of mangosteen (Garcinia mangostana L.) fruit ripening.
29263331,"Genome-wide analysis of SSR and ILP markers in trees: diversity profiling, alternate distribution, and applications in duplication."
27347883,CsSNP: A Web-Based Tool for the Detecting of Comparative Segments SNPs.
25886726,Genome-wide distribution comparative and composition analysis of the SSRs in Poaceae.
26093644,Genomic-associated Markers and comparative Genome Maps of Xanthomonas oryzae pv. oryzae and X. oryzae pv. oryzicola.
25474882,Large-scale development of PIP and SSR markers and their complementary applied in Nicotiana.
29204342,Sex differences in white matter alterations following repetitive subconcussive head impacts in collegiate ice hockey players.
23105930,Comparative evaluation of intron prediction methods and detection of plant genome annotation using intron length distributions.
29685517,Degradation rate affords a dynamic cue to regulate stem cells beyond varied matrix stiffness.
29307830,Functional and evolution characterization of SWEET sugar transporters in Ananas comosus.
29177251,A concurrent subtractive assembly approach for identification of disease associated sub-metagenomes.
28588265,Network Analysis Reveals the Recognition Mechanism for Dimer Formation of Bulb-type Lectins.
29159053,Using simultaneous PET/MRI to compare the accuracy of diagnosing frontotemporal dementia by arterial spin labelling MRI and FDG-PET.
28770406,Development and validation of a prognostic model incorporating texture analysis derived from standardised segmentation of PET in patients with oesophageal cancer.
28855209,Therapeutic Targeting of Oncogenic Tyrosine Phosphatases.
29432517,Spectral clustering based on learning similarity matrix.
29303563,In Aqua Veritas: The Indispensable yet Mostly Ignored Role of Water in Phase Separation and Membrane-less Organelles.
29471801,A maximum likelihood algorithm for reconstructing 3D structures of human chromosomes from chromosomal contact data.
22749424,The benefits of introducing electronic health records in residential aged care facilities: a multiple case study.
29150438,A PIP2-derived amplification loop fuels the sustained initiation of B cell activation.
21166410,Cooperative hybridization of oligonucleotides.
29284071,"Design of the First-in-Class, Highly Potent Irreversible Inhibitor Targeting the Menin-MLL Protein-Protein Interaction."
25484070,Posttranslational modification of autophagy-related proteins in macroautophagy.
25009550,Selective autophagy of non-ubiquitylated targets in plants: looking for cognate receptor/adaptor proteins.
25365205,Regulation of autophagy by protein post-translational modification.
25874941,Drug-DNA Interaction Studies of Acridone-Based Derivatives.
29188226,Data on RNA-seq analysis of Garcinia mangostana L. seed development.
29255780,"Dataset of surface refractivity in Southeast, Nigeria."
29394067,Integrating Multiple Accelerated Molecular Dynamics To Improve Accuracy of Free Energy Calculations.
27803324,Structural basis for DNA recognition by STAT6.
29234606,"Complete genome sequence of N2-fixing model strain Klebsiella sp. nov. M5al, which produces plant cell wall-degrading enzymes and siderophores."
29758769,Modulation of dynamic modes by interplay between positive and negative feedback loops in gene regulatory networks.
29547122,SPIN1 promotes tumorigenesis by blocking the uL18 (universal large ribosomal subunit protein 18)-MDM2-p53 pathway in human cancer.
22645347,Structure of the receptor-binding carboxy-terminal domain of bacteriophage T7 tail fibers.
26636477,Predictive Sampling of Rare Conformational Events in Aqueous Solution: Designing a Generalized Orthogonal Space Tempering Method.
29062072,Development and regulation of single- and multi-species Candida albicans biofilms.
29547563,Bias-Exchange Metadynamics Simulation of Membrane Permeation of 20 Amino Acids.
28960954,Structure-Activity and -Toxicity Relationships of the Antimicrobial Peptide Tachyplesin-1.
29154279,Biological Factors Contributing to the Response to Cognitive Training in Mild Cognitive Impairment.
21156660,Loss of white matter integrity is associated with gait disorders in cerebral small vessel disease.
29174401,The Gut Microbiota Facilitates Drifts in the Genetic Diversity and Infectivity of Bacterial Viruses.
26446068,Cerebral small vessel disease and incident parkinsonism: The RUN DMC study.
29021580,The quaternary architecture of RARβ-RXRα heterodimer facilitates domain-domain signal transmission.
29164540,Phytoplankton can bypass nutrient reductions in eutrophic coastal water bodies.
21041684,Structure of the bacteriophage T4 long tail fiber receptor-binding tip.
29107778,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton.
29259999,Progressive inner nuclear layer dysfunction in non-optic neuritis eyes in MS.
21903632,Protein-protein binding affinity prediction on a diverse set of structures.
28322227,Real-time reliable determination of binding kinetics of DNA hybridization using a multi-channel graphene biosensor.
29079624,"Deciphering the Origin, Evolution, and Physiological Function of the Subtelomeric Aryl-Alcohol Dehydrogenase Gene Family in the Yeast Saccharomyces cerevisiae."
21887827,Synthesis of phenanthridinones from N-methoxybenzamides and arenes by multiple palladium-catalyzed C-H activation steps at room temperature.
27298319,A Supercomplex Spanning the Inner and Outer Membranes Mediates the Biogenesis of β-Barrel Outer Membrane Proteins in Bacteria.
29756036,Tuning peptide self-assembly by an in-tether chiral center.
28651056,Significantly Improved Protein Folding Thermodynamics Using a Dispersion-Corrected Water Model and a New Residue-Specific Force Field.
29264111,Alemtuzumab-based therapy for Secondary Malignant Histiocytosis arising from Pre-B-ALL.
29398647,Pegylated Filgrastim Versus Filgrastim for Stem Cell Mobilization in Multiple Myeloma After Novel Agent Induction.
29215805,Development of the Suicide Risk Scale for Medical Inpatients.
22334061,Pd-catalysed synthesis of isoquinolinones and analogues via C-H and N-H bonds double activation.
28840975,Cardioprotection mediated by exosomes is impaired in the setting of type II diabetes but can be rescued by the use of non-diabetic exosomes in vitro.
29160039,Fine-tuning the P. pastoris iMT1026 genome-scale metabolic model for improved prediction of growth on methanol or glycerol as sole carbon sources.
29212307,Dysregulation of NRF2 in Cancer: from Molecular Mechanisms to Therapeutic Opportunities.
29291740,Significance of clinical observations and biochemical alterations in buffalo calves with dietary abomasal impaction.
29249920,Art and theatre for health in rural Cambodia.
29717369,"Molecular identification of Trichodina compacta Van As and Basson, 1989 (Ciliophora: Peritrichia) from cultured Oreochromis niloticus in Egypt and its impact on immune responses and tissue pathology."
29326159,An intrinsic lipid-binding interface controls sphingosine kinase 1 function.
28782740,A novel prototype 3/5 laparoscopic needle driver: A validation study with conventional laparoscopic needle driver.
28855316,Stem/progenitor cells in pituitary organ homeostasis and tumourigenesis.
28506993,MAPK pathway control of stem cell proliferation and differentiation in the embryonic pituitary provides insights into the pathogenesis of papillary craniopharyngioma.
29180744,Stem cell senescence drives age-attenuated induction of pituitary tumours in mouse models of paediatric craniopharyngioma.
29118074,Golgi stress-induced transcriptional changes mediated by MAPK signaling and three ETS transcription factors regulate MCL1 splicing.
28800133,Adaptive evolution of rhizobial symbiotic compatibility mediated by co-evolved insertion sequences.
29291752,Influence of silver nanoparticles on growth and health of broiler chickens after infection with Campylobacter jejuni.
29291746,Aerobic proteobacterial methylotrophs in Movile Cave: genomic and metagenomic analyses.
16823370,Ordered surface carbons distinguish antifreeze proteins and their ice-binding regions.
28900095,Discovery of a proteolytic flagellin family in diverse bacterial phyla that assembles enzymatically active flagella.
28695687,Electro-fermentation triggering population selection in mixed-culture glycerol fermentation.
28971729,Perioperative events in children with pulmonary hypertension undergoing non-cardiac procedures.
26389744,Iterative Knowledge-Based Scoring Functions Derived from Rigid and Flexible Decoy Structures: Evaluation with the 2013 and 2014 CSAR Benchmarks.
25836059,Understanding the Effects of Bidentate Directing Groups: A Unified Rationale for sp(2) and sp(3) C-H Bond Activations.
29514601,Prediction of sensitivity to gefitinib/erlotinib for EGFR mutations in NSCLC based on structural interaction fingerprints and multilinear principal component analysis.
29023197,Mutational landscape of RNA-binding proteins in human cancers.
29293625,Targeted deletion of the zebrafish actin-bundling protein L-plastin (lcp1).
28878591,Mutations in the gene of the Gα subunit of the heterotrimeric G protein are the cause for the brachytic1 semi-dwarf phenotype in barley and applicable for practical breeding.
28823911,"Prevalence and Identity of Taenia multiceps cysts ""Coenurus cerebralis"" in Sheep in Egypt."
25760944,Molecular characterization of Echinococcus granulosus sensu lato from farm animals in Egypt.
29293544,Genomic association for sexual precocity in beef heifers using pre-selection of genes and haplotype reconstruction.
28843784,How many differentially expressed genes: A perspective from the comparison of genotypic and phenotypic distances.
26787467,A novel esterase subfamily with α/β-hydrolase fold suggested by structures of two bacterial enzymes homologous to l-homoserine O-acetyl transferases.
27906040,Identity of Fasciola spp. in sheep in Egypt.
